epoch,train_loss,train_obj_p2,train_obj_p3,train_obj_p4,train_bbox_p2,train_bbox_p3,train_bbox_p4,val_obj_p2,val_obj_p3,val_obj_p4,val_f1_p2,val_f1_p3,val_f1_p4,out_max_p4,out_std_p4,cells_above_03_p4,head_bias_p4,grad_norm,lr,epoch_time_s,gpu_mem_mb,mined
48,1.0980,0.0651,0.1060,0.8195,0.0474,0.0473,0.0127,0.0737,0.0987,0.8033,0.0822,0.2086,0.4293,0.0000,0.0000,0.0,-0.8409,3.7657,0.00351223,204.99,4090.3,0
49,1.0900,0.0635,0.1048,0.8170,0.0485,0.0475,0.0130,0.0618,0.0952,0.7983,0.1617,0.2547,0.4312,0.0000,0.0000,0.0,-0.8458,3.7792,0.00345062,210.27,4050.9,0
50,1.0938,0.0643,0.1052,0.8162,0.0475,0.0476,0.0130,0.0608,0.0956,0.8035,0.1456,0.2489,0.4572,0.6151,0.0069,12.1,-0.8365,3.8150,0.00338834,216.66,4090.3,0
51,1.0929,0.0634,0.1059,0.8160,0.0477,0.0469,0.0130,0.0623,0.0959,0.8122,0.1723,0.2473,0.3788,0.0000,0.0000,0.0,-0.8215,3.7495,0.00332541,217.74,4090.3,0
52,1.0910,0.0633,0.1043,0.8157,0.0478,0.0473,0.0126,0.0613,0.0955,0.8087,0.1686,0.2123,0.4051,0.0000,0.0000,0.0,-0.8166,3.7252,0.00326189,218.84,4050.9,0
53,1.0868,0.0626,0.1042,0.8130,0.0471,0.0472,0.0126,0.0609,0.0969,0.7958,0.1559,0.2739,0.4265,0.0000,0.0000,0.0,-0.8120,3.6727,0.00319783,295.71,4090.3,0
54,1.0841,0.0628,0.1040,0.8113,0.0473,0.0474,0.0126,0.0620,0.0961,0.7974,0.1672,0.2865,0.4208,0.0000,0.0000,0.0,-0.8116,3.7576,0.00313326,272.73,4050.9,0
55,1.0833,0.0622,0.1035,0.8111,0.0469,0.0470,0.0125,0.0598,0.0945,0.8022,0.1292,0.2267,0.4676,0.0000,0.0000,0.0,-0.8088,3.7489,0.00306825,247.38,4050.9,0
56,1.0807,0.0620,0.1026,0.8092,0.0473,0.0472,0.0124,0.0648,0.0967,0.7995,0.2039,0.2850,0.4681,0.0000,0.0000,0.0,-0.7979,3.7105,0.00300282,238.08,4050.9,0
57,1.0775,0.0621,0.1024,0.8077,0.0472,0.0467,0.0124,0.0602,0.0946,0.8007,0.1567,0.2467,0.4097,0.0000,0.0000,0.0,-0.7928,3.7494,0.00293704,209.71,4090.3,0
58,1.0775,0.0617,0.1019,0.8083,0.0470,0.0464,0.0122,0.0606,0.0945,0.7940,0.1364,0.2205,0.4474,0.0000,0.0000,0.0,-0.7888,3.7637,0.00287094,225.17,4050.9,0
59,1.0751,0.0603,0.1027,0.8073,0.0467,0.0469,0.0125,0.0619,0.0958,0.8019,0.1211,0.2181,0.4156,0.0000,0.0000,0.0,-0.7792,3.7568,0.00280458,213.89,4090.3,0
60,1.0723,0.0614,0.1028,0.8045,0.0470,0.0467,0.0121,0.0630,0.0952,0.8012,0.1960,0.2653,0.4611,0.8602,0.0143,24.5,-0.7777,3.6820,0.00273800,201.01,4090.3,0
61,1.0740,0.0610,0.1020,0.8052,0.0471,0.0465,0.0123,0.0610,0.0941,0.7977,0.1782,0.2477,0.4473,0.0000,0.0000,0.0,-0.7754,3.7574,0.00267125,222.20,4090.3,0
62,1.0686,0.0596,0.1016,0.8017,0.0467,0.0467,0.0123,0.0589,0.0928,0.7937,0.1311,0.2489,0.4483,0.0000,0.0000,0.0,-0.7658,3.7563,0.00260439,220.25,4050.9,0
63,1.0696,0.0603,0.1009,0.8044,0.0469,0.0467,0.0121,0.0594,0.0948,0.7908,0.1246,0.2062,0.4277,0.0000,0.0000,0.0,-0.7622,3.7302,0.00253745,231.76,4090.3,0
64,1.0678,0.0598,0.1012,0.8020,0.0462,0.0465,0.0121,0.0622,0.0954,0.7929,0.1879,0.2886,0.4399,0.0000,0.0000,0.0,-0.7529,3.7062,0.00247048,231.51,4090.3,0
65,1.0636,0.0598,0.1009,0.7982,0.0459,0.0467,0.0122,0.0586,0.0949,0.8001,0.1463,0.2561,0.4854,0.0000,0.0000,0.0,-0.7584,3.7278,0.00240354,206.80,4050.9,0
66,1.0608,0.0610,0.1002,0.7975,0.0470,0.0465,0.0120,0.0603,0.0961,0.8000,0.1739,0.2091,0.4115,0.0000,0.0000,0.0,-0.7516,3.6884,0.00233668,202.33,4050.9,0
67,1.0642,0.0597,0.1004,0.7990,0.0468,0.0465,0.0118,0.0585,0.0955,0.7929,0.1623,0.1986,0.4334,0.0000,0.0000,0.0,-0.7492,3.6869,0.00226993,200.46,4090.3,0
68,1.0631,0.0591,0.0994,0.7992,0.0469,0.0465,0.0120,0.0574,0.0925,0.7980,0.1450,0.2344,0.3954,0.0000,0.0000,0.0,-0.7430,3.8096,0.00220335,198.40,4050.9,0
69,1.0588,0.0589,0.1001,0.7958,0.0460,0.0462,0.0118,0.0606,0.0928,0.7921,0.1155,0.2245,0.4206,0.0000,0.0000,0.0,-0.7406,3.6679,0.00213699,202.18,4090.3,0
70,1.0593,0.0590,0.0986,0.7970,0.0466,0.0463,0.0118,0.0584,0.0923,0.7938,0.1545,0.2476,0.4609,1.0000,0.0934,2582.8,-0.7405,3.7553,0.00207089,217.86,4050.9,0
71,1.0562,0.0587,0.0995,0.7945,0.0468,0.0461,0.0117,0.0617,0.0929,0.7973,0.1963,0.2587,0.4037,0.0000,0.0000,0.0,-0.7352,3.6722,0.00200511,224.85,4090.3,0
72,1.0541,0.0590,0.0993,0.7945,0.0452,0.0462,0.0117,0.0588,0.0948,0.7904,0.1748,0.2911,0.4368,0.0000,0.0000,0.0,-0.7345,3.7369,0.00193968,218.92,4050.9,0
73,1.0544,0.0580,0.0995,0.7935,0.0461,0.0459,0.0115,0.0571,0.0932,0.7897,0.1420,0.2513,0.4325,0.0000,0.0000,0.0,-0.7342,3.7427,0.00187466,216.48,4090.3,0
74,1.0551,0.0585,0.0987,0.7937,0.0465,0.0460,0.0116,0.0579,0.0918,0.7948,0.1261,0.2369,0.3999,0.0000,0.0000,0.0,-0.7288,3.6717,0.00181010,214.91,4050.9,0
