epoch,train_loss,val_obj_p3,val_obj_p4,val_f1_p3,val_f1_p4,val_prec_p3,val_rec_p3,val_prec_p4,val_rec_p4,p3_obj_bias,p4_obj_bias,p3_iou_bias,p4_iou_bias,p3_bbox_dw,p4_bbox_dw,p3_bbox_dh,p4_bbox_dh,p3_obj_l2,p3_iou_l2,p3_bbox_l2,p4_obj_l2,p4_iou_l2,p4_bbox_l2,bn_mean_abs,bn_var_avg,grad_norm,lr,epoch_time_s,gpu_mem_mb
21,3.9672,1.3662,0.7138,0.0066,0.2480,0.2168,0.1222,0.7985,0.7263,-1.6613,-1.7889,-1.0047,-1.8223,12.3960,11.1226,9.9328,14.7438,12.1757,9.7545,4795.0151,0.00398097,221.60,4555.3
22,3.9490,1.3561,0.6439,0.0066,0.3107,0.2166,0.1224,0.8051,0.7282,-1.6585,-1.7842,-1.0027,-1.8201,12.3942,11.1445,9.9196,14.7826,12.1201,9.6691,4939.6375,0.00388506,221.86,4555.3
23,3.9448,1.3587,0.6932,0.0066,0.2637,0.2198,0.1241,0.8056,0.7376,-1.6547,-1.7819,-1.0020,-1.8183,12.3959,11.1464,9.9011,14.8426,12.2062,9.6463,9407.2838,0.00378612,222.27,4555.3
24,3.9285,1.3572,0.5661,0.0066,0.3423,0.2215,0.1247,0.8044,0.7361,-1.6542,-1.7803,-0.9991,-1.8154,12.4374,11.1409,9.8847,14.8891,12.1340,9.6052,9487.6700,0.00368436,221.81,4555.3
25,3.9208,1.3509,0.5937,0.0066,0.3343,0.2214,0.1252,0.8064,0.7354,-1.6507,-1.7784,-0.9980,-1.8137,12.4541,11.1476,9.8730,14.9369,12.1242,9.5819,9497.3603,0.00358001,223.30,4555.3
26,3.9062,1.3596,0.5998,0.0066,0.3344,0.2231,0.1265,0.8092,0.7363,-1.6490,-1.7761,-0.9977,-1.8136,12.5362,11.1576,9.8639,14.9956,12.0626,9.5694,9351.2834,0.00347329,221.59,4555.3
27,3.8930,1.3520,0.5088,0.0066,0.4736,0.2218,0.1267,0.8094,0.7506,-1.6466,-1.7742,-0.9968,-1.8107,12.6593,11.1545,9.8590,15.0525,12.1091,9.5517,9609.2174,0.00336444,220.89,4555.3
28,3.8930,1.3585,0.5903,0.0066,0.3335,0.2230,0.1279,0.8066,0.7574,-1.6448,-1.7731,-0.9960,-1.8100,12.8454,11.1342,9.8530,15.1105,12.1217,9.5256,18166.2236,0.00325371,221.82,4555.3
29,3.8405,1.3631,0.4573,0.0066,0.3814,0.2219,0.1284,0.8110,0.8529,-1.6438,-1.7683,-0.9937,-1.8097,13.0588,11.1328,9.8363,15.1575,11.9749,9.4879,18319.5002,0.00314133,220.81,4555.3
30,3.8163,1.3563,0.4748,0.0066,0.3817,0.2223,0.1284,0.8130,0.8662,-1.6429,-1.7665,-0.9929,-1.8074,13.2826,11.1087,9.8544,15.1986,12.0505,9.4265,18362.1335,0.00302755,221.21,4555.3
31,3.8129,1.3644,0.5040,0.0066,0.3751,0.2235,0.1289,0.8138,0.8718,-1.6411,-1.7657,-0.9915,-1.8067,13.4948,11.0847,9.8098,15.2380,12.0868,9.4129,18241.5988,0.00291263,220.58,4555.3
32,3.8101,1.3676,0.4970,0.0066,0.3762,0.2239,0.1291,0.8152,0.8764,-1.6387,-1.7633,-0.9913,-1.8065,13.7404,11.0590,9.8058,15.2787,12.1177,9.3740,19006.6639,0.00279680,220.87,4555.3
33,3.7908,1.3448,0.5122,0.0066,0.3676,0.2235,0.1292,0.8204,0.8803,-1.6377,-1.7617,-0.9906,-1.8050,13.9513,11.0502,9.8014,15.3225,12.1423,9.3769,35885.5163,0.00268034,222.36,4555.3
34,3.7883,1.3590,0.4692,0.0066,0.3762,0.2239,0.1293,0.8204,0.8818,-1.6371,-1.7608,-0.9905,-1.8032,14.1821,11.0293,9.7893,15.3577,12.1508,9.3677,35481.7335,0.00256349,221.68,4555.3
35,3.7826,1.3600,0.4848,0.0066,0.3902,0.2240,0.1290,0.8223,0.8867,-1.6352,-1.7595,-0.9897,-1.8029,14.4174,11.0246,9.7922,15.3923,12.1839,9.3417,35389.4074,0.00244651,221.19,4555.3
36,3.7767,1.3537,0.5110,0.0066,0.3745,0.2239,0.1292,0.8247,0.8884,-1.6350,-1.7587,-0.9889,-1.8012,14.6080,11.0293,9.7846,15.4139,12.1986,9.3241,36091.8324,0.00232966,221.15,4555.3
37,3.7703,1.3576,0.5015,0.0066,0.3865,0.2237,0.1291,0.8271,0.8897,-1.6335,-1.7567,-0.9887,-1.8015,14.7838,11.0405,9.7836,15.4286,12.2227,9.3154,39213.5186,0.00221320,220.53,4555.3
38,3.7667,1.3416,0.4901,0.0066,0.3895,0.2237,0.1289,0.8266,0.8911,-1.6323,-1.7563,-0.9888,-1.8007,14.9540,11.0462,9.7751,15.4496,12.2316,9.3078,71023.2034,0.00209737,221.08,4555.3
39,3.7567,1.3566,0.5187,0.0066,0.3776,0.2235,0.1291,0.8321,0.8933,-1.6319,-1.7552,-0.9877,-1.8004,15.1112,11.0749,9.7740,15.4674,12.2834,9.2911,70672.3563,0.00198245,220.41,4555.3
40,3.7511,1.3513,0.5234,0.0066,0.3818,0.2237,0.1289,0.8345,0.8959,-1.6308,-1.7540,-0.9875,-1.8005,15.2747,11.0966,9.7723,15.4800,12.3075,9.2892,69570.8389,0.00186867,222.27,4555.3
