epoch,train_loss,obj_loss,iou_loss,bbox_loss,p2_obj_loss,p2_iou_loss,p2_bbox_loss,val_hm_obj,val_hm_f1,val_hm_prec,val_hm_rec,val_p2_hm_obj,val_p2_hm_f1,val_p2_hm_prec,val_p2_hm_rec,det_peaks,det_boxes,det_tiny,det_kept,p2_det_peaks,p2_det_boxes,p2_det_tiny,p2_det_kept,obj_bias_val,obj_bias_sig,obj_w_l2,bbox_w_l2,p2_obj_bias_val,p2_obj_bias_sig,p2_obj_w_l2,p2_bbox_w_l2,obj_sig_max,obj_sig_mean,obj_sig_std,p2_obj_sig_max,p2_obj_sig_mean,p2_obj_sig_std,bn_mean_abs,bn_var_avg,grad_norm,lr,epoch_time_s,gpu_mem_mb,nan_skips
15,8.0542,0.6865,0.0274,0.4101,7.0932,0.0288,0.7000,0.2948,0.0000,0.0000,0.0000,0.2377,0.0000,0.0000,0.0000,1435,1435,0,1435,47,47,15,32,-2.5802,0.0704,13.1990,13.8807,-2.7687,0.0590,9.7458,9.4459,0.3877,0.2089,0.0502,0.0785,0.0159,0.0064,10.3717,212.6681,24.3408,0.00029651,334.60,5357,0
16,6.8951,0.6846,0.0274,0.4101,4.7425,0.0286,0.7071,3.6338,0.0087,0.6547,0.0044,0.1956,0.0000,0.0000,0.0000,1146,1146,0,1146,54,54,31,23,-2.5777,0.0706,13.1761,13.8345,-2.7707,0.0589,9.6408,9.3906,0.5815,0.2313,0.0920,0.1169,0.0202,0.0116,11.8396,232.6431,5.5772,0.00029599,335.33,5357,0
17,6.1736,0.6763,0.0283,0.4016,3.3464,0.0287,0.7180,0.3385,0.0541,0.7466,0.0280,0.2091,0.0000,0.0000,0.0000,1454,1454,0,1454,64,64,20,44,-2.5822,0.0703,13.1451,13.8022,-2.7712,0.0589,9.5509,9.3445,0.5493,0.1990,0.0807,0.1168,0.0215,0.0100,14.0239,341.3106,18.8336,0.00029544,342.30,5357,0
18,6.3437,0.6335,0.0279,0.3891,3.9854,0.0281,0.7004,0.2703,0.3701,0.6826,0.2539,0.1976,0.0000,0.0000,0.0000,1413,1413,0,1413,40,40,13,27,-2.5816,0.0703,13.1660,13.7541,-2.7726,0.0588,9.4760,9.3250,0.7002,0.2103,0.0967,0.0710,0.0199,0.0086,16.1178,382.5341,34.0918,0.00029486,336.43,5357,0
19,6.0555,0.6691,0.0287,0.3933,3.2489,0.0286,0.7096,0.4444,0.2496,0.8333,0.1468,0.2028,0.0000,0.0000,0.0000,1401,1401,5,1396,2,2,1,1,-2.5805,0.0704,13.1389,13.7093,-2.7777,0.0585,9.3970,9.2800,0.6445,0.2140,0.0826,0.4282,0.0212,0.0151,18.5692,466.1715,57.5744,0.00029424,339.70,5357,0
20,6.9046,0.5802,0.0277,0.3739,5.3819,0.0279,0.6973,0.9997,0.2256,0.8765,0.1295,0.1999,0.0000,0.0000,0.0000,282,282,1,281,7,7,1,6,-2.5829,0.0702,13.1459,13.6796,-2.7718,0.0589,9.3157,9.2563,0.6240,0.1974,0.0980,0.0871,0.0192,0.0084,21.5371,543.8364,18.9427,0.00029359,336.81,5357,0
21,7.5802,0.5476,0.0281,0.3767,6.6909,0.0284,0.7129,2.7237,0.4790,0.7865,0.3444,0.2127,0.0000,0.0000,0.0000,510,510,11,499,5,5,3,2,-2.5857,0.0701,13.1393,13.6055,-2.7808,0.0584,9.2354,9.2300,0.0223,0.0006,0.0012,0.0488,0.0153,0.0055,25.8333,853.7785,27.3561,0.00029290,339.25,5357,0
22,6.0837,0.5392,0.0286,0.3731,3.7124,0.0287,0.7205,0.4316,0.5745,0.7616,0.4613,0.1942,0.0000,0.0000,0.0000,1521,1521,0,1521,13,13,2,11,-2.5853,0.0701,13.1339,13.5606,-2.7718,0.0589,9.1525,9.1746,0.8062,0.1924,0.1097,0.1261,0.0196,0.0097,30.0011,1347.5622,18.7255,0.00029218,346.94,5357,0
23,7.1095,0.5094,0.0278,0.3568,6.0975,0.0282,0.6986,12.6046,0.1094,0.7407,0.0590,0.2070,0.0000,0.0000,0.0000,177,177,3,174,1,1,0,1,-2.5880,0.0699,13.1212,13.5216,-2.7773,0.0586,9.0556,9.1412,0.0391,0.0010,0.0022,0.0452,0.0153,0.0048,33.7409,1672.4893,10.8119,0.00029143,344.47,5357,0
24,8.4776,0.5179,0.0284,0.3710,8.5146,0.0300,0.7304,0.2784,0.5556,0.6235,0.5010,0.1965,0.0000,0.0000,0.0000,797,797,26,771,4,4,0,4,-2.5858,0.0701,13.1628,13.4791,-2.7713,0.0589,8.9564,9.1029,0.7842,0.2129,0.1337,0.1221,0.0185,0.0068,35.4230,1614.9177,23.0314,0.00029064,345.56,5357,0
25,5.4472,0.4814,0.0267,0.3394,3.0677,0.0283,0.6859,0.8479,0.5664,0.5811,0.5524,0.1925,0.0000,0.0000,0.0000,156,156,47,109,1,1,0,1,-2.5892,0.0698,13.1635,13.4352,-2.7782,0.0585,8.8961,9.0567,0.7769,0.1888,0.0919,0.0749,0.0174,0.0068,37.0937,1649.1325,32.5467,0.00028982,333.55,5357,0
26,5.7101,0.4708,0.0275,0.3521,3.3638,0.0291,0.7104,0.5068,0.5474,0.8558,0.4024,0.1817,0.0000,0.0000,0.0000,537,537,0,537,31,31,1,30,-2.5942,0.0695,13.1658,13.3917,-2.7687,0.0590,8.8182,9.0168,0.7451,0.1708,0.1292,0.2681,0.0315,0.0212,38.8214,1537.4532,82.5414,0.00028896,346.07,5357,0
27,5.6714,0.4664,0.0274,0.3443,3.3455,0.0287,0.7159,0.3432,0.6079,0.7571,0.5078,0.1960,0.0000,0.0000,0.0000,1231,1231,0,1231,3,3,2,1,-2.5937,0.0695,13.1470,13.3353,-2.7799,0.0584,8.7553,9.0011,0.7373,0.1714,0.1102,0.1150,0.0226,0.0116,40.7271,1291.6285,30.3698,0.00028807,342.31,5357,0
