epoch,train_loss,train_obj_p2,train_obj_p3,train_obj_p4,train_bbox_p2,train_bbox_p3,train_bbox_p4,val_obj_p2,val_obj_p3,val_obj_p4,val_f1_p2,val_f1_p3,val_f1_p4,lr,epoch_time_s,gpu_mem_mb
1,1.0208,0.2280,0.2393,0.3103,0.1051,0.0937,0.0444,0.1033,0.1196,0.1416,0.0094,0.0232,0.2180,0.00020000,257.83,4074.0
40,0.3580,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00021405,243.94,4113.2
41,0.3582,0.0770,0.0783,0.1017,0.0453,0.0450,0.0109,0.0714,0.0791,0.1014,0.0603,0.1348,0.4898,0.00018948,289.76,4073.9
42,0.3577,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00016615,241.78,4073.9
43,0.3573,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00014416,283.74,4073.9
44,0.3546,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00012360,240.36,4112.7
45,0.3546,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00010454,239.17,4112.7
46,0.3541,0.0758,0.0773,0.1011,0.0444,0.0450,0.0105,0.0720,0.0788,0.1011,0.0634,0.1358,0.5018,0.00008706,280.48,4113.2
47,0.3538,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00007123,236.65,4113.2
48,0.3541,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00005711,251.03,4073.9
49,0.3545,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00004476,245.27,4073.9
50,0.3547,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00003423,241.43,4112.7
51,0.3527,0.0751,0.0774,0.1011,0.0441,0.0446,0.0104,0.0735,0.0794,0.1007,0.0699,0.1456,0.4916,0.00002555,281.72,4112.7
52,0.3534,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00001877,239.55,4074.0
53,0.3546,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00001390,272.19,4074.0
54,0.3529,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00001098,237.94,4073.9
55,0.3708,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00100000,234.83,4073.9
56,0.3726,0.0797,0.0815,0.1048,0.0466,0.0474,0.0126,0.0707,0.0780,0.1037,0.0469,0.0887,0.4489,0.00099902,285.29,4073.9
57,0.3700,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00099610,245.42,4113.2
58,0.3681,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00099123,236.03,4112.7
59,0.3687,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00098445,230.57,4113.2
60,0.3694,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00097577,227.17,4073.9
61,0.3692,0.0795,0.0802,0.1037,0.0470,0.0467,0.0122,0.0711,0.0786,0.1030,0.0394,0.0964,0.4626,0.00096524,280.71,4073.9
62,0.3672,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00095289,243.92,4113.2
63,0.3668,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00093877,241.14,4112.7
64,0.3639,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00092294,255.12,4112.7
65,0.3637,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00090546,246.11,4113.2
66,0.3648,0.0780,0.0794,0.1028,0.0465,0.0461,0.0121,0.0712,0.0770,0.1011,0.0535,0.1187,0.4914,0.00088640,294.07,4112.7
67,0.3620,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00086584,250.42,4074.0
68,0.3630,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00084385,247.56,4073.9
69,0.3603,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00082052,276.10,4112.7
70,0.3609,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00079595,243.21,4113.3
71,0.3616,0.0776,0.0778,0.1016,0.0469,0.0460,0.0118,0.0703,0.0765,0.1017,0.0424,0.1051,0.4761,0.00077023,337.62,4073.9
72,0.3601,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00074347,247.92,4073.9
73,0.3588,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00071576,282.55,4112.7
74,0.3590,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00068722,246.05,4074.5
75,0.3586,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00065796,249.44,4074.0
76,0.3570,0.0761,0.0774,0.1007,0.0455,0.0457,0.0115,0.0726,0.0790,0.1006,0.0631,0.1555,0.5050,0.00062810,285.30,4112.7
77,0.3569,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00059775,241.68,4113.2
78,0.3544,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00056704,241.35,4112.7
79,0.3550,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00053608,238.78,4073.9
80,0.3532,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00050500,238.04,4074.0
81,0.3545,0.0757,0.0767,0.1000,0.0454,0.0456,0.0111,0.0699,0.0769,0.0999,0.0507,0.1354,0.5245,0.00047392,282.65,4074.5
82,0.3527,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00044296,241.61,4113.2
